Log 6	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 7	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 8	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 9	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 10	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 11	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude
	48	24	14680	14680.09809		-28	-60	14656	14656.14956		-8	8	14760	14760.00434		-36	68	14756	14756.2006		24	-36	14792	14792.06328		-12	-52	14684	14684.09698
	-44	92	14756	14756.35239		76	-44	14768	14768.2611		16	-76	14840	14840.20323		28	36	14656	14656.07096		44	-16	14504	14504.07557		76	20	14784	14784.20887
	-16	48	14652	14652.08736		-32	68	14856	14856.19009		-36	-40	14736	14736.09826		48	-12	14760	14760.08293		0	-100	14716	14716.33976		-20	-20	14608	14608.02738
	-48	-52	14812	14812.16905		20	-44	14796	14796.07894		32	-36	14764	14764.07857		4	-12	14856	14856.00539		-24	16	14792	14792.02812		16	28	14900	14900.0349
	60	-40	14668	14668.17726		52	-32	14764	14764.12625		-8	0	14644	14644.00219		-56	72	14716	14716.28268		-4	0	14748	14748.00054		4	8	14772	14772.00271
	64	-48	14888	14888.21494		12	-24	14612	14612.02464		8	-44	14740	14740.06784		-84	8	14852	14852.2397		40	-60	14552	14552.17867		40	-12	14868	14868.05865
	-44	12	14604	14604.07121		-40	36	14788	14788.09792		32	-4	14752	14752.03525		52	-12	14744	14744.09658		20	76	14600	14600.21151		-52	-68	14720	14720.24891
	-28	24	14596	14596.04659		96	4	14716	14716.31367		-32	84	14592	14592.27686		-60	-24	14684	14684.14219		0	-12	14644	14644.00492		-60	-68	14864	14864.27664
	-100	24	14776	14776.35787		-24	-24	14672	14672.03926		112	-104	14688	14688.79519		76	-112	14772	14772.62008		128	-12	14596	14596.56617		-8	0	14736	14736.00217
	32	-40	14672	14672.08942		-24	44	14808	14808.08482		-76	-12	14608	14608.20263		-4	0	14608	14608.00055		64	0	14808	14808.1383		-52	44	14632	14632.15856
	24	40	14812	14812.07345		108	4	14800	14800.39459		56	76	14760	14760.30189		84	52	14680	14680.33242		36	-28	14528	14528.07159		56	20	14612	14612.121
	104	-24	14752	14752.38611		100	-96	14684	14684.6543		40	88	14632	14632.3193		8	68	14712	14712.15932		0	-104	14752	14752.36659		-12	-32	14692	14692.03975
	-20	16	14836	14836.02211		68	-44	14636	14636.2241		-64	104	14704	14704.50706		-36	-72	14784	14784.21915		-20	76	14712	14712.2099		8	-60	14620	14620.12531
	0	-12	14704	14704.0049		-20	-20	14800	14800.02703		-84	76	14696	14696.43657		56	-48	14660	14660.18554		0	-32	14872	14872.03443		8	-12	14784	14784.00703
	24	20	14628	14628.03336		-36	24	14800	14800.06324		-24	-8	14668	14668.02182		-8	-16	14692	14692.01089		36	124	14684	14684.56768		-108	-52	14712	14712.4883
	-56	-68	14640	14640.26502		-20	-24	14768	14768.03304		44	36	14700	14700.10993		-12	8	14692	14692.00708		-108	-96	14696	14696.71038		88	-108	14724	14724.65905
	0	-4	14508	14508.00055		80	-96	14796	14796.5277		-28	44	14804	14804.09187		120	76	14796	14796.68179		72	36	14716	14716.22017		80	-12	14788	14788.22126
	-8	52	14784	14784.09361		-40	56	14624	14624.16192		40	-32	14764	14764.08886		-56	-40	14692	14692.16118		0	60	14672	14672.12268		16	-56	14724	14724.11519
	-28	88	14608	14608.29189		-92	16	14836	14836.29388		52	-32	14728	14728.12656		0	12	14800	14800.00486		96	-40	14608	14608.3702		52	-20	14712	14712.10549
	76	104	14632	14632.56697		68	112	14608	14608.58761		-16	28	14684	14684.03541		84	-40	14700	14700.29442		-8	20	14852	14852.01562		-20	-20	14644	14644.02731
	24	-36	14824	14824.06314		-36	-48	14664	14664.12275		60	4	14728	14728.12276		-96	-24	14860	14860.32947		-48	-60	14764	14764.19994		8	4	14660	14660.00273
	20	36	14628	14628.05797		-80	-52	14596	14596.31186		16	-28	14812	14812.03511		52	76	14720	14720.28804		40	0	14800	14800.05405		16	-36	14760	14760.05257
	8	88	14724	14724.26514		40	96	14808	14808.3652		-16	44	14764	14764.07423		-44	-8	14596	14596.06851		-84	-64	14720	14720.3788		4	64	14780	14780.13911
	20	-72	14684	14684.19014		-36	16	14816	14816.05238		92	-48	14652	14652.36745		56	36	14740	14740.15034		28	64	14648	14648.16657		84	52	14748	14748.33089
	-100	36	14772	14772.38234		-88	-16	14680	14680.27248		-8	-36	14684	14684.04631		-40	-36	14892	14892.09723		32	4	14812	14812.03511		16	4	14768	14768.00921
	40	52	14676	14676.14663		-80	8	14732	14732.21938		-28	32	14632	14632.06178		-96	24	14848	14848.32974		8	-48	14568	14568.08127		-32	44	14604	14604.10134
	40	-20	14736	14736.06786		64	-12	14768	14768.14355		-68	28	14668	14668.18435		60	-120	14800	14800.6081		40	56	14784	14784.16017		-48	-16	14788	14788.08656
	28	76	14740	14740.22252		40	-24	14892	14892.07306		24	0	14684	14684.01961		32	-64	14780	14780.17321		-88	4	14700	14700.26394		-44	120	14708	14708.55533
	112	60	14684	14684.5497		-112	-12	14680	14680.43215		44	-72	14808	14808.24041		0	12	14792	14792.00487		-24	12	14616	14616.02463		40	-40	14808	14808.10805
	-32	-28	14776	14776.06118		-64	12	14716	14716.14406		-76	-52	14628	14628.28985		16	-20	14764	14764.02222		-76	16	14760	14760.20433		-112	-8	14672	14672.42966
	32	40	14812	14812.08858		64	-40	14560	14560.1956		-56	-20	14812	14812.11936		128	-20	14764	14764.5684		68	-52	14624	14624.25054		48	32	14732	14732.11295
	-52	4	14720	14720.09239		8	48	14728	14728.08039		12	-8	14800	14800.00703		40	-20	14840	14840.06739		60	-4	14620	14620.12367		-60	116	14584	14584.58474
	-44	32	14748	14748.10035		-24	-48	14736	14736.09772		-48	-60	14732	14732.20038		80	68	14712	14712.37466		16	20	14680	14680.02234		72	24	14720	14720.19565
	-108	-64	14804	14804.53228		-64	-40	14700	14700.19374		16	-104	14660	14660.37762		-68	36	14604	14604.20268		-12	8	14724	14724.00706		0	32	14716	14716.03479
	-60	20	14824	14824.13492		-40	-112	14688	14688.48147		-40	20	14600	14600.06849		-68	12	14704	14704.16213		-28	8	14736	14736.02877		40	-20	14568	14568.06864
	-40	0	14612	14612.05475		-28	16	14668	14668.03545		-104	12	14684	14684.37319		-4	-60	14616	14616.1237		96	20	14868	14868.32338		-48	8	14720	14720.08043
	-12	-36	14652	14652.04914		28	12	14692	14692.03158		16	20	14784	14784.02219		28	48	14720	14720.10489		-120	72	14652	14652.66829		-64	-4	14564	14564.14117
	-48	128	14688	14688.63615		-44	-24	14548	14548.08633		-100	-12	14696	14696.34512		-56	-56	14768	14768.21235		32	-68	14612	14612.19326		64	4	14728	14728.1396
	-12	-48	14764	14764.0829		-36	28	14692	14692.07079		40	56	14676	14676.16135		-120	52	14612	14612.58526		36	44	14740	14740.10963		-8	-4	14648	14648.00273
	76	8	14692	14692.19875		-32	20	14672	14672.04853		28	8	14776	14776.0287		28	-16	14800	14800.03514		0	88	14704	14704.26333		-64	100	14748	14748.47789
	28	64	14600	14600.16712		-72	-52	14872	14872.26519		-4	48	14740	14740.0787		-108	-48	14768	14768.47291		-68	64	14680	14680.297		-32	-32	14684	14684.06974
	24	-40	14820	14820.07341		-32	24	14600	14600.05479		-84	-20	14744	14744.25285		68	-76	14748	14748.35259		8	16	14792	14792.01082		68	-12	14768	14768.16143
	-24	-36	14724	14724.06357		-88	20	14824	14824.27469		32	-32	14652	14652.06989		20	-20	14752	14752.02711		-64	-48	14776	14776.21657		44	-36	14592	14592.11075
	-108	-40	14636	14636.45312		-32	-24	14732	14732.0543		-32	4	14736	14736.03529		-64	-112	14632	14632.56861		-24	-4	14804	14804.01999		-16	-12	14644	14644.01366
	-4	-52	14776	14776.09204		0	-60	14860	14860.12113		0	24	14648	14648.01966		-32	52	14652	14652.12722		-4	24	14636	14636.02022		-8	52	14736	14736.09392
	-72	-40	14788	14788.22937		-36	28	14772	14772.0704		4	-76	14772	14772.19605		-12	-84	14772	14772.2437		64	44	14704	14704.20511		-44	0	14676	14676.06596
	44	-56	14820	14820.17112		76	-68	14700	14700.35374		68	28	14800	14800.1827		64	8	14716	14716.14134		-56	8	14664	14664.10911		-64	-56	14768	14768.24485
	40	4	14612	14612.0553		20	-12	14700	14700.0185		-24	-52	14552	14552.1127		20	8	14608	14608.01588		-80	20	14804	14804.22967		-16	120	14904	14904.49167
	76	-8	14764	14764.19778		-64	20	14668	14668.15326		72	12	14760	14760.18049		8	36	14612	14612.04654		-12	36	14600	14600.04931		-104	-88	14556	14556.63752
	16	-28	14740	14740.03528		-16	8	14672	14672.01091		-20	80	14676	14676.23167		12	-48	14896	14896.08217		-88	-68	14856	14856.41626		-36	20	14648	14648.05789
	-108	-56	14832	14832.49891		-64	92	14656	14656.42849		-68	76	14800	14800.35135		20	64	14772	14772.15218		-76	96	14784	14784.50703		-108	20	14816	14816.40712
	80	8	14776	14776.21873		-16	-96	14676	14676.3227		92	-36	14732	14732.33125		-24	-68	14700	14700.17687		8	-8	14756	14756.00434		-112	-96	14780	14780.73611
	28	-32	14660	14660.06166		84	48	14780	14780.31664		-12	-20	14608	14608.01862		88	-24	14756	14756.28192		-16	0	14708	14708.0087		72	-8	14840	14840.17682
	4	-76	14812	14812.19552		-44	4	14688	14688.06645		-76	12	14692	14692.20147		48	28	14736	14736.10478		-64	12	14732	14732.1439		20	-64	14748	14748.15243
	0	20	14552	14552.01374		-16	8	14724	14724.01087		-44	8	14708	14708.06799		24	40	14764	14764.07369		76	-16	14704	14704.20511		-56	-44	14748	14748.17195
	64	-20	14716	14716.15276		-112	44	14868	14868.48694		-56	4	14560	14560.10824		-16	36	14660	14660.05293		-76	60	14764	14764.31753		-68	12	14736	14736.16178
	4	28	14752	14752.02711		68	4	14752	14752.15727		-24	-40	14744	14744.07379		4	0	14720	14720.00054		116	-12	14728	14728.4617		20	48	14784	14784.09145
	36	-24	14660	14660.06385		-44	-64	14792	14792.20389		8	44	14712	14712.06797		-52	12	14712	14712.09679		-60	112	14708	14708.54881		48	40	14692	14692.13286
	-36	-56	14660	14660.15116		-104	24	14664	14664.38843		-44	8	14480	14480.06906		80	-64	14728	14728.35632		36	76	14628	14628.24173		-72	80	14748	14748.39273
	80	0	14716	14716.21745		16	16	14724	14724.01739		56	8	14692	14692.1089		96	-48	14700	14700.39183		-60	40	14756	14756.1762		4	-48	14684	14684.079
	-60	68	14652	14652.28064		-188	28	14604	14605.23687		-12	60	14684	14684.12749		52	0	14616	14616.0925		-8	-20	14576	14576.01592		-48	36	14736	14736.12215
	-156	-24	14548	14548.85617		48	-52	14704	14704.17029		-12	4	14716	14716.00544		-80	-64	14724	14724.35642		-80	-36	14740	14740.26106		-40	-32	14684	14684.08935
	24	-32	14688	14688.05447		-56	-32	14640	14640.14208		80	-60	14640	14640.34153		64	4	14620	14620.14063		-60	-76	14768	14768.31744		-8	16	14752	14752.01085
	-72	-48	14604	14604.25637		-44	16	14620	14620.07497		80	-68	14756	14756.37354		64	-24	14700	14700.15891		-72	36	14640	14640.22131		-72	32	14560	14560.21319
	20	60	14880	14880.13441		16	-28	14628	14628.03555		-28	100	14648	14648.3681		-12	20	14648	14648.01857		16	-32	14764	14764.04335		52	-36	14624	14624.13676
	12	20	14660	14660.01855		-80	-60	14696	14696.34022		24	-48	14692	14692.09801		-4	-16	14716	14716.00924		52	-44	14732	14732.15748		32	-52	14612	14612.12757
	8	52	14628	14628.09461		-32	28	14804	14804.06106		168	-32	14788	14788.98888		-20	16	14616	14616.02244		16	-40	14544	14544.06381		-76	-16	14748	14748.2045
	-8	-116	14880	14880.45429		32	32	14840	14840.069		-12	8	14668	14668.00709		-12	44	14816	14816.07019		24	20	14652	14652.03331		48	-20	14808	14808.0913
	-44	72	14772	14772.24099		8	-24	14532	14532.02202		16	-40	14728	14728.06301		20	-92	14652	14652.30248		-36	36	14740	14740.08792		20	44	14704	14704.07943
	52	36	14608	14608.13691		40	-68	14688	14688.21187		-36	-96	14716	14716.35716		-8	60	14760	14760.12412		84	-20	14724	14724.25319		-80	-52	14740	14740.30882
	-64	80	14788	14788.35488		8	-16	14712	14712.01088		36	16	14892	14892.05211		-32	32	14728	14728.06953		44	-12	14812	14812.07021		-76	20	14796	14796.2087
	-12	-32	14700	14700.03973		-72	-72	14748	14748.3515		132	0	14792	14792.58896		76	-4	14696	14696.19706		-40	24	14748	14748.07377		44	20	14644	14644.07976
	-44	64	14756	14756.20439		-48	-56	14656	14656.18559		-76	-48	14700	14700.27483		0	-40	14712	14712.05438		0	-32	14732	14732.03475		4	-4	14592	14592.0011
	28	-20	14804	14804.03999		-56	8	14772	14772.10831		-4	-28	14720	14720.02717		4	112	14544	14544.43179		-8	28	14716	14716.02881		8	16	14688	14688.01089
	-64	40	14788	14788.19259		-24	76	14888	14888.21332		-44	-80	14684	14684.28384		96	-52	14688	14688.40577		12	64	14680	14680.14441		64	-48	14740	14740.21709
	8	-28	14676	14676.02889		32	-52	14728	14728.12656		-20	-64	14684	14684.15309		84	-48	14588	14588.32081		-20	-4	14680	14680.01417		56	100	14616	14616.44936
	68	-44	14616	14616.22441		-132	68	14784	14784.74565		-48	36	14668	14668.12272		-56	12	14652	14652.11193		-48	-40	14748	14748.13236		104	-88	14800	14800.62701
	96	-4	14788	14788.31214		-52	-20	14716	14716.10546		0	-56	14740	14740.10638		-52	4	14752	14752.09219		-28	-8	14676	14676.02889		16	-8	14752	14752.01085
	-80	128	14600	14600.78025		56	56	14784	14784.21212		-104	-16	14768	14768.37486		116	44	14768	14768.52112		-68	-12	14828	14828.16078		44	44	14776	14776.13102
	16	-16	14808	14808.01729		20	-116	14832	14832.46709		80	8	14752	14752.21909		48	56	14764	14764.18423		-8	8	14684	14684.00436		36	-16	14652	14652.05296
	-36	56	14832	14832.14941		56	56	14772	14772.21229		8	4	14728	14728.00272		-44	-4	14716	14716.06632		-68	52	14752	14752.24837		0	0	14704	14704
	-8	-52	14772	14772.09369		12	0	14820	14820.00486		0	12	14648	14648.00492		-92	40	14812	14812.33972		-76	-4	14652	14652.19765		84	-72	14692	14692.41655
	36	16	14848	14848.05226		-8	16	14800	14800.01081		32	32	14756	14756.0694		-56	52	14696	14696.19869		52	-56	14664	14664.19913		-136	88	14596	14596.89885
	8	92	14576	14576.29253		-56	48	14568	14568.18671		-64	24	14628	14628.15969		-12	44	14620	14620.07114		12	80	14788	14788.22126		-56	-32	14640	14640.14208
	-20	20	14772	14772.02708		-4	-20	14748	14748.0141		16	-24	14580	14580.02853		-24	4	14708	14708.02013		56	24	14788	14788.12551		28	-76	14788	14788.2218
	-8	4	14728	14728.00272		-8	-20	14736	14736.01574		-16	-24	14752	14752.0282		8	16	14656	14656.01092		64	8	14800	14800.14054		-64	-24	14712	14712.15878
	100	-136	14672	14672.97107		16	-32	14700	14700.04354		52	-36	14892	14892.1343		-12	48	14752	14752.08297		8	44	14716	14716.06795		-24	32	14728	14728.05432
	-52	-36	14680	14680.13624		-80	-12	14676	14676.22295		76	4	14648	14648.1977		40	4	14748	14748.05479		20	12	14660	14660.01855		88	-48	14868	14868.3379
	-4	-60	14792	14792.12223		-28	-32	14748	14748.0613		68	-52	14840	14840.2469		-16	28	14820	14820.03509		-56	-52	14808	14808.19719		44	20	14676	14676.07959
	48	20	14672	14672.09215		56	-64	14880	14880.24301		-8	0	14764	14764.00217		40	-24	14708	14708.07397		-40	64	14544	14544.19582		4	88	14676	14676.26437
	-52	-64	14808	14808.2296		-108	-28	14688	14688.42374		-28	-76	14812	14812.22144		-4	16	14796	14796.00919		12	68	14728	14728.16187		40	12	14648	14648.05953
	112	-80	14836	14836.63843		-48	36	14664	14664.12275		-32	56	14660	14660.14188		4	-112	14696	14696.42732		-52	-4	14716	14716.09242		-16	-40	14696	14696.06315
	0	96	14660	14660.31432		-16	-48	14740	14740.08684		44	-160	14736	14736.93428		-60	-172	14812	14813.12013		12	12	14816	14816.00972		0	20	14676	14676.01363
	-60	92	14676	14676.41101		-32	0	14684	14684.03487		-12	24	14656	14656.02456		8	-24	14612	14612.0219		28	36	14612	14612.07117		-52	-32	14616	14616.12753
	12	104	14724	14724.37218		-24	4	14836	14836.01995		20	-8	14740	14740.01574		-44	0	14648	14648.06608		68	24	14724	14724.17658		32	28	14796	14796.0611
	-88	-12	14784	14784.26677		-4	-52	14568	14568.09336		32	-28	14804	14804.06106		-4	-8	14728	14728.00272		-76	100	14776	14776.53383		4	-20	14700	14700.01415
	120	68	14728	14728.64583		-32	56	14660	14660.14188		12	8	14636	14636.00711		20	-16	14764	14764.02222		-64	56	14788	14788.24452		-48	92	14576	14576.36937
	-24	-76	14844	14844.21396		-8	36	14760	14760.04607		4	-48	14780	14780.07848		-4	-36	14760	14760.04444		8	-20	14612	14612.01588		52	-32	14692	14692.12687
	28	8	14768	14768.02871		-48	20	14704	14704.09195		40	-20	14700	14700.06803		80	64	14636	14636.35856		20	60	14772	14772.13539		76	88	14768	14768.45774
	-112	-48	14712	14712.50461		-12	-64	14564	14564.14556		28	32	14616	14616.06185		-32	-48	14752	14752.1128		20	-60	14708	14708.13598		-120	60	14688	14688.61273
	48	48	14776	14776.15593		100	36	14772	14772.38234		68	76	14584	14584.35655		20	-8	14712	14712.01577		-36	32	14680	14680.07902		-76	12	14764	14764.20049
	-68	-4	14644	14644.15843		44	88	14788	14788.32729		0	12	14676	14676.00491		20	-4	14776	14776.01408		64	-24	14704	14704.15887		-52	60	14744	14744.21378
	-120	16	14716	14716.49795		-48	-32	14660	14660.11351		8	-64	14788	14788.14065		-24	-44	14524	14524.08648		-56	-40	14668	14668.16144		60	68	14832	14832.27724
	-40	44	14692	14692.12034		92	56	14800	14800.39189		-12	-4	14684	14684.00545		-20	-12	14736	14736.01846		28	40	14556	14556.08189		80	-24	14804	14804.23561
	8	-12	14652	14652.0071		32	88	14788	14788.29645		28	64	14692	14692.16608		8	28	14684	14684.02887		-44	-40	14608	14608.12103		-32	0	14764	14764.03468
	80	12	14828	14828.22066		-56	-20	14616	14616.12096		20	-12	14792	14792.01839		44	-52	14788	14788.15688		20	-32	14788	14788.04815		-64	20	14808	14808.15181
	40	4	14712	14712.05492		-28	24	14776	14776.04602		52	-44	14680	14680.15804		36	16	14644	14644.05299		-20	24	14728	14728.03313		-24	28	14644	14644.04644
	56	-96	14724	14724.41945		-68	-92	14668	14668.44613		36	-120	14752	14752.53199		-4	-108	14604	14604.39988		4	24	14580	14580.0203		-80	20	14580	14580.23319
	20	-12	14752	14752.01844		-40	-140	14692	14692.72146		28	-16	14728	14728.03531		-56	-80	14844	14844.3212		-32	24	14712	14712.05438		-68	8	14848	14848.15787
	48	-8	14824	14824.07987		52	52	14720	14720.18369		36	-4	14624	14624.04486		-44	52	14644	14644.15843		76	44	14684	14684.2626		-44	60	14676	14676.18861
	-128	0	14760	14760.555		-76	112	14564	14564.62893		44	104	14648	14648.43527		52	28	14632	14632.11919		72	152	14712	14712.96136		-88	12	14672	14672.26881
	40	-60	14712	14712.17673		20	-72	14592	14592.19134		12	-16	14716	14716.01359		-48	44	14716	14716.14406		-32	-24	14644	14644.05463		28	-40	14676	14676.08122
	32	-12	14768	14768.03954		76	-4	14820	14820.19541		4	-20	14740	14740.01411		20	88	14716	14716.2767		40	-52	14728	14728.14612		80	-48	14676	14676.29654
	-68	-64	14628	14628.29806		-12	-48	14508	14508.08437		56	96	14756	14756.41854		-28	16	14756	14756.03524		-32	-20	14796	14796.04812		-32	8	14772	14772.03683
	0	-24	14660	14660.01965		-16	60	14732	14732.13087		24	36	14680	14680.06376		36	36	14712	14712.08809		-68	64	14644	14644.29773		-64	32	14648	14648.17477
	36	-64	14624	14624.18435		8	-24	14720	14720.02174		20	36	14628	14628.05797		132	-32	14808	14808.62289		-108	16	14748	14748.40412		-16	-20	14732	14732.02226
	-8	36	14844	14844.04581		28	4	14648	14648.02731		-48	-36	14728	14728.12222		-88	-24	14816	14816.28077		-32	-28	14764	14764.06123		40	8	14700	14700.0566
	96	-8	14664	14664.31642		-80	-56	14784	14784.32251		68	-64	14656	14656.29749		-8	68	14632	14632.1602		4	-8	14796	14796.0027		-32	56	14792	14792.14062
	16	52	14720	14720.10054		-80	-96	14684	14684.53173		64	-28	14632	14632.16676		8	-40	14696	14696.05661		-16	28	14856	14856.035		-60	-36	14640	14640.16721
	-20	24	14692	14692.03322		84	-8	14676	14676.24257		-120	-20	14756	14756.50148		52	-12	14672	14672.09706		-40	8	14700	14700.0566		-12	28	14796	14796.03136
	-60	-20	14740	14740.13568		0	76	14680	14680.19673		-48	-28	14660	14660.10532		112	24	14856	14856.44157		8	16	14796	14796.01081		52	-24	14748	14748.1112
	-56	76	14756	14756.30198		28	-124	14828	14828.54491		-100	-32	14736	14736.37405		40	-100	14704	14704.39445		-80	-76	14660	14660.41527		12	-84	14664	14664.2455
	-4	20	14748	14748.0141		-32	12	14552	14552.04013		56	32	14860	14860.13997		-16	24	14792	14792.02812		16	36	14792	14792.05246		-88	56	14820	14820.36707
	28	4	14716	14716.02718		64	-20	14764	14764.15226		-36	-20	14616	14616.05802		-4	-40	14648	14648.05516		20	-88	14764	14764.2758		116	32	14788	14788.48958
	-8	44	14844	14844.06737		-12	0	14636	14636.00492		-28	48	14820	14820.10418		-28	-32	14668	14668.06163		20	-104	14812	14812.37861		64	-12	14784	14784.1434
	-60	8	14652	14652.12503		20	-84	14632	14632.25478		20	76	14692	14692.21018		-32	-64	14728	14728.17382		-76	-12	14692	14692.20147		-68	20	14972	14972.16778
	32	-4	14744	14744.03527		32	24	14664	14664.05456		40	-80	14552	14552.27487		-20	-16	14772	14772.0222		-28	16	14684	14684.03541		4	-112	14840	14840.42317
	-32	-32	14840	14840.069		12	28	14636	14636.0317		-44	0	14740	14740.06567		24	-16	14708	14708.02828		-108	20	14732	14732.40944		20	20	14656	14656.02729
	-4	92	14596	14596.29049		-64	4	14540	14540.1414		104	-56	14736	14736.47339		-64	-20	14608	14608.15389		-76	-80	14684	14684.4146		-108	-24	14764	14764.41452
	-144	-24	14552	14552.73225		-36	44	14700	14700.10993		-48	-44	14716	14716.14406		56	-8	14692	14692.1089		32	24	14592	14592.05482		12	32	14788	14788.03949
	-64	-76	14760	14760.33441		-80	28	14732	14732.24382		52	24	14704	14704.11153		-60	-60	14800	14800.24324		-24	-48	14692	14692.09801		-48	56	14664	14664.18549
	-52	60	14776	14776.21332		-72	20	14752	14752.18926		40	-56	14632	14632.16184		-32	24	14828	14828.05395		56	-160	14772	14772.97262		-60	-40	14704	14704.17682
	4	-32	14780	14780.03518		-12	-20	14648	14648.01857		-8	40	14708	14708.05657		-4	-24	14692	14692.02015		-96	-16	14708	14708.322		116	-72	14612	14612.63782
	64	-84	14724	14724.3787		-40	100	14572	14572.39802		-60	24	14744	14744.14162		84	24	14672	14672.26008		120	-112	14764	14764.91246		52	20	14748	14748.10523
	-8	40	14836	14836.05608		4	20	14844	14844.01401		-4	0	14688	14688.00054		-100	-36	14656	14656.38537		-36	-32	14688	14688.07898		-44	-20	14644	14644.07976
	32	-40	14704	14704.08923		16	-16	14840	14840.01725		-24	-92	14688	14688.30773		-12	-28	14780	14780.03139		52	12	14744	14744.09658		-32	-44	14748	14748.10035
	-76	24	14664	14664.21658		-84	-32	14656	14656.27565		-28	-56	14796	14796.13247		-100	-44	14764	14764.40422		104	-40	14620	14620.42462		20	8	14624	14624.01586
	112	-64	14668	14668.56721		-4	-32	14704	14704.03536		0	32	14612	14612.03504		-36	-44	14748	14748.10957		-52	-100	14760	14760.43035		-20	-16	14724	14724.02228
	-72	4	14892	14892.17459		4	-140	14680	14680.6681		16	60	14796	14796.1303		56	-44	14596	14596.17375		16	-48	14768	14768.08667		-8	72	14684	14684.1787
	-24	28	14712	14712.04622		-16	60	15004	15004.1285		8	64	14780	14780.14073		-84	8	14660	14660.24284		-72	16	14776	14776.18408		8	44	14704	14704.06801
	-16	60	14580	14580.13224		-16	-8	14704	14704.01088		-36	-48	14712	14712.12235		-32	-84	14768	14768.27356		-100	64	14752	14752.47776		92	128	14788	14788.84012
	24	-28	14664	14664.04637		-96	72	14800	14800.48648		40	12	14688	14688.05937		88	24	14752	14752.28199		36	76	14800	14800.23892		32	4	14800	14800.03514
	-84	12	14656	14656.24563		-52	-20	14656	14656.10589		76	-88	14644	14644.46162		12	-52	14564	14564.09778		-28	-84	14684	14684.26695		56	56	14772	14772.21229
	-56	-24	14760	14760.12574		40	-92	14656	14656.34334		44	-8	14776	14776.06768		52	60	14788	14788.21314		-24	44	14796	14796.08489		-96	32	14644	14644.34963
	124	48	14704	14704.60118		-60	-68	14708	14708.27957		60	20	14744	14744.13565		-8	0	14632	14632.00219		80	-32	14728	14728.25203		-40	-68	14672	14672.2121
	-16	12	14868	14868.01345		-12	-12	14760	14760.00976		76	-8	14712	14712.19848		32	-20	14812	14812.04807		12	8	14672	14672.00709		-68	56	14880	14880.26075
	52	8	14704	14704.09412		-108	52	14740	14740.48737		12	-36	14864	14864.04844		20	4	14640	14640.01421		32	-108	14776	14776.42934		40	100	14544	14544.39878
	-116	36	14780	14780.49904		-12	-36	14760	14760.04878		-128	32	14604	14604.59599		12	-60	14696	14696.12738		-176	8	14656	14657.05891		-112	12	14916	14916.42531
	-12	48	14724	14724.08313		0	4	14704	14704.00054		48	-36	14724	14724.12225		52	-20	14736	14736.10532		28	-40	14728	14728.08093		-44	60	14708	14708.1882
	-124	144	14768	14769.22259		-144	-56	14680	14680.81306		88	12	14764	14764.26713		-20	40	14668	14668.06818		-24	16	14748	14748.02821		0	-72	14736	14736.17589
	-12	-76	14808	14808.19989		120	-12	14800	14800.49134		-20	-44	14712	14712.07939		4	-48	14768	14768.07855		64	-32	14652	14652.17472		112	36	14708	14708.47048
	-20	16	14728	14728.02227		112	4	14664	14664.42825		64	-20	14820	14820.15169		-92	16	14724	14724.29611		92	8	14764	14764.28881		-20	20	14640	14640.02732
	-84	0	14632	14632.24111		-20	-44	14784	14784.079		52	36	14700	14700.13605		-112	-56	14712	14712.53289		56	44	14580	14580.17394		-12	16	14632	14632.01367
	64	16	14668	14668.14835		-100	60	14616	14616.46524		-32	-40	14796	14796.08867		48	24	14620	14620.09849		36	36	14748	14748.08788		64	-76	14864	14864.33207
	-24	28	14740	14740.04613		24	-4	14812	14812.01998		-12	-12	14808	14808.00972		32	8	14864	14864.0366		68	28	14792	14792.1828		-108	-4	14720	14720.39673
	-36	76	14744	14744.23982		44	-44	14780	14780.13099		-8	40	14692	14692.05663		-20	12	14760	14760.01843		-48	56	14880	14880.18279		28	56	14708	14708.13326
	-116	-88	14640	14640.72403		0	-20	14728	14728.01358		28	-8	14712	14712.02882		-16	36	14728	14728.05269		4	-68	14680	14680.15804		72	28	14760	14760.20217
	64	-72	14800	14800.31351		-28	16	14808	14808.03512		12	-16	14784	14784.01353		-44	28	14676	14676.09267		40	24	14632	14632.07436		44	-56	14688	14688.17266
	48	56	14596	14596.18635		108	-60	14824	14824.51483		56	-32	14740	14740.14111		52	-8	14752	14752.09382		-56	32	14780	14780.14073		-48	-24	14912	14912.09657
	4	84	14756	14756.23963		-40	-48	14804	14804.13186		-4	16	14536	14536.00936		8	40	14748	14748.05641		8	20	14680	14680.0158		56	-48	14736	14736.18458
	116	16	14768	14768.46424		0	-60	14916	14916.12068		28	-20	14564	14564.04065		0	0	14712	14712		16	20	14680	14680.02234		8	-12	14720	14720.00707
	-12	-40	14780	14780.059		-76	-60	14696	14696.31899		12	4	14840	14840.00539		20	48	14752	14752.09165		-80	-24	14772	14772.23612		-24	-16	14756	14756.02819
