Log 6	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 7	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 8	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 9	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 10	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 11	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude
	60	-72	14704	14704.29869		24	8	14724	14724.02173		-36	-20	14748	14748.0575		88	40	14648	14648.31895		20	132	14712	14712.60575		-36	28	14748	14748.07052
	172	-92	14624	14625.30082		20	116	14824	14824.46734		28	-48	14656	14656.10535		52	8	14700	14700.09415		-44	-36	14612	14612.11059		16	-40	14712	14712.06308
	-24	-44	14588	14588.0861		-12	-156	14704	14704.8324		64	4	14696	14696.1399		-32	-92	14736	14736.32193		-44	-24	14716	14716.08535		-52	48	14784	14784.16937
	48	-48	14732	14732.15639		32	-12	14620	14620.03995		44	24	14784	14784.08496		0	88	14764	14764.26226		20	48	14748	14748.09167		-24	68	14644	14644.17755
	20	-20	14744	14744.02713		0	8	14648	14648.00218		56	36	14660	14660.15116		-52	-24	14760	14760.11111		-24	-12	14652	14652.02457		52	-32	14744	14744.12642
	-40	40	14800	14800.10811		-4	56	14636	14636.10768		32	-20	14672	14672.04853		20	16	14796	14796.02217		4	-36	14832	14832.04423		148	-44	14776	14776.80669
	8	-16	14560	14560.01099		112	-20	14768	14768.43824		-8	28	14808	14808.02863		-8	-108	14788	14788.39653		32	-8	14528	14528.03744		12	-36	14736	14736.04886
	-20	-24	14564	14564.03351		4	12	14744	14744.00543		-36	4	14692	14692.04465		-24	12	14756	14756.0244		-60	-76	14784	14784.3171		96	28	14724	14724.33958
	-36	-56	14680	14680.15095		-24	0	14768	14768.0195		-12	-80	14632	14632.22362		96	44	14700	14700.37931		-16	28	14692	14692.03539		56	-28	14588	14588.13436
	20	-80	14804	14804.22967		-32	-96	14672	14672.34896		-44	120	14652	14652.55746		20	-24	14604	14604.03342		16	76	14768	14768.20422		56	36	14604	14604.15174
	-4	-84	14604	14604.24212		-44	-36	14740	14740.10963		8	-24	14664	14664.02182		12	40	14684	14684.05938		-100	76	14860	14860.53081		-8	-12	14708	14708.00707
	-84	-12	14740	14740.24423		-28	0	14824	14824.02644		-84	0	14820	14820.23805		16	16	14684	14684.01743		-24	12	14912	14912.02414		16	-20	14696	14696.02232
	-24	16	14668	14668.02836		52	-12	14644	14644.09724		12	-48	14632	14632.08365		-60	-36	14736	14736.16612		-12	20	14720	14720.01848		-68	72	14576	14576.33644
	92	120	14596	14596.78321		52	52	14860	14860.18196		20	-12	14572	14572.01867		24	-60	14816	14816.14093		-32	8	14644	14644.03715		-20	32	14680	14680.0485
	8	-28	14808	14808.02863		8	-48	14644	14644.08085		-16	28	14788	14788.03516		20	32	14772	14772.0482		76	44	14612	14612.26389		-28	-28	14764	14764.0531
	-44	44	14668	14668.13199		-60	36	14704	14704.16648		36	48	14744	14744.12208		68	52	14632	14632.25041		-28	-40	14652	14652.08135		60	20	14824	14824.13492
	-12	-76	14652	14652.20202		12	96	14820	14820.31579		-100	-20	14724	14724.35316		4	4	14756	14756.00108		12	-44	14540	14540.07153		-80	40	14612	14612.27375
	16	-80	14644	14644.22726		-32	48	14664	14664.11347		116	0	14784	14784.45508		96	32	14800	14800.34594		-8	100	14820	14820.33954		36	-44	14816	14816.10907
	-4	32	14876	14876.03496		36	-52	14820	14820.13495		-4	24	14692	14692.02015		-32	124	14736	14736.55645		0	-76	14780	14780.1954		-12	4	14580	14580.00549
	40	-88	14704	14704.31773		-68	-28	14708	14708.18384		-20	8	14588	14588.0159		-80	-24	14856	14856.23479		-44	72	14748	14748.24139		-56	36	14696	14696.15079
	28	12	14848	14848.03125		28	16	14704	14704.03536		-100	-32	14640	14640.3765		12	-92	14672	14672.29334		-48	40	14760	14760.13225		20	8	14636	14636.01585
	-120	-60	14728	14728.61107		36	-36	14724	14724.08802		-20	40	14776	14776.06768		140	-20	14704	14704.68007		80	28	14720	14720.24402		16	20	14816	14816.02214
	48	16	14728	14728.08691		68	0	14712	14712.15715		40	-120	14788	14788.54097		-24	-72	14644	14644.19667		40	48	14716	14716.13264		128	-24	14708	14708.57655
	-64	12	14792	14792.14332		44	-16	14724	14724.07444		24	-32	14712	14712.05438		28	-16	14728	14728.03531		64	80	14840	14840.35363		-72	36	14752	14752.21963
	12	-4	14740	14740.00543		20	-12	14736	14736.01846		68	-16	14820	14820.16464		52	-8	14756	14756.09379		8	28	14668	14668.02891		-36	60	14808	14808.16532
	-16	48	14752	14752.08677		-60	-12	14796	14796.12652		56	36	14724	14724.1505		20	28	14608	14608.04053		12	44	14804	14804.07025		-36	-32	14676	14676.07904
	56	8	14744	14744.10852		44	16	14740	14740.07436		-16	-20	14592	14592.02248		-20	-132	14732	14732.60493		68	0	14604	14604.15831		16	80	14728	14728.22596
	-28	-72	14740	14740.20244		28	-8	14800	14800.02865		-12	-52	14640	14640.09727		44	44	14740	14740.13134		24	8	14584	14584.02194		-60	-64	14644	14644.26277
	68	-28	14668	14668.18435		28	12	14784	14784.03139		16	76	14780	14780.20406		0	-64	14748	14748.13887		52	-28	14764	14764.11812		8	-48	14620	14620.08098
	-36	4	14804	14804.04431		-8	-132	14800	14800.5908		140	4	14800	14800.66269		-76	24	14900	14900.21315		-112	-8	14396	14396.43789		16	-16	14704	14704.01741
	12	-32	14796	14796.03947		-16	-28	14808	14808.03512		-12	72	14680	14680.18147		28	-72	14688	14688.20316		8	-36	14712	14712.04622		48	4	14744	14744.07868
	44	-16	14828	14828.07391		-24	60	14668	14668.14235		-24	68	14652	14652.17745		8	8	14816	14816.00432		20	-24	14696	14696.03321		56	36	14800	14800.14973
	-8	-32	14672	14672.03708		52	32	14796	14796.12598		68	-76	14780	14780.35182		-44	44	14700	14700.1317		-12	100	14724	14724.34447		-40	-52	14712	14712.14627
	-8	-12	14676	14676.00709		-48	88	14700	14700.34176		104	24	14680	14680.38801		-48	-24	14744	14744.09767		-56	-12	14908	14908.11001		-32	32	14716	14716.06958
	48	8	14780	14780.08011		-44	-4	14652	14652.06661		128	-40	14744	14744.60986		56	-40	14620	14620.16197		-20	32	14752	14752.04826		-16	-12	14684	14684.01362
	64	-24	14812	14812.15771		-16	84	14732	14732.24817		0	-96	14580	14580.31605		128	8	14720	14720.55869		44	-64	14728	14728.20478		-52	0	14820	14820.09123
	-28	-20	14708	14708.04025		-8	-28	14676	14676.02889		48	-72	14692	14692.25483		-20	48	14740	14740.09172		-32	16	14772	14772.04333		16	-56	14768	14768.11484
	-68	-36	14736	14736.20087		-84	-16	14656	14656.24945		-12	-40	14736	14736.05917		64	-4	14756	14756.13933		-20	44	14644	14644.07976		-112	-20	14684	14684.44075
	-24	-28	14668	14668.04636		-140	-52	14800	14800.75349		-56	-68	14812	14812.26195		-112	-16	14868	14868.43045		-56	4	14560	14560.10824		-108	-80	14748	14748.61241
	-124	-32	14728	14728.55675		-40	32	14872	14872.08822		-16	-16	14592	14592.01754		-72	-48	14648	14648.2556		12	-16	14704	14704.0136		-136	36	14688	14688.67373
	28	-4	14688	14688.02723		-76	16	14816	14816.20356		-32	-20	14712	14712.0484		-40	4	14772	14772.0547		-20	8	14768	14768.01571		20	-88	14796	14796.27521
	-92	-4	14820	14820.2861		-32	-20	14900	14900.04779		20	-16	14756	14756.02223		0	8	14548	14548.0022		20	16	14772	14772.0222		-8	-16	14744	14744.01085
	-116	-28	14732	14732.48329		-28	20	14820	14820.03995		-20	-12	14760	14760.01843		-8	8	14656	14656.00437		48	0	14672	14672.07852		-32	-28	14700	14700.0615
	68	-16	14692	14692.16608		-112	28	14820	14820.44966		-68	8	14616	14616.16037		4	-56	14764	14764.10675		-48	-52	14760	14760.16965		52	48	14636	14636.17108
