Log 0	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 1	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 2	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 3	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 4	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 5	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)
	-86	-36	7						-90	-34	11		-120	-8	6		-98	2	9		-97	-31	-2
	-92	-31	-2						-88	-29	12		-89	32	-2		-85	-120	10		-93	-33	7
	-90	-37	17						-94	-33	9		-95	-41	7		-88	-42	3		-100	-19	7
	-94	-29	14						-90	-35	8		-88	-56	12		-91	-36	2		-99	-21	9
	-84	-25	3						-87	-31	0		-99	-29	14		-90	-106	10		-97	-27	1
	-85	-34	10						-96	-39	10		-87	-67	12		-99	-60	10		-87	-33	6
	-96	-35	13						-94	-31	13		-87	-56	13		-86	-28	7		-95	-40	12
	-92	-37	5						-94	-37	8		-89	-45	1		-89	-40	2		-88	-38	8
	-89	-37	13						-94	-28	3		-94	-36	2		-102	-36	14		-96	-37	6
	-84	-31	12						-91	-35	9		-94	-43	11		-92	-6	14		-95	-28	6
	-87	-33	6						-90	-30	10		-89	-28	5		-99	-24	3		-94	-27	10
	-93	-40	8						-97	-31	11		-93	-38	4		-92	-38	2		-90	-29	5
	-89	-36	6						-90	-25	5		-91	-43	4		-92	-7	1		-99	-22	6
	-90	-25	12						-92	-29	7		-92	-39	8		-104	-63	15		-96	-33	9
	-88	-33	13						-92	-34	11		-98	-40	6		-89	-65	12		-99	-42	8
	-93	-36	1						-97	-38	-1		-93	-33	7		-89	-47	1		-90	-28	13
	-91	-33	11						-89	-32	8		-96	-24	8		-96	-5	6		-91	-47	10
	-88	-32	16						-86	-26	12		-91	-32	10		-91	-32	12		-90	-28	4
	-94	-41	6						-95	-30	14		-95	-29	16		-92	-45	4		-91	-49	2
	-88	-34	8						-93	-33	3		-87	-43	4		-94	-25	5		-96	-25	11
	-89	-39	6						-89	-34	14		-93	-22	9		-95	-27	7		-96	-27	4
	-88	-34	13						-86	-25	9		-91	-40	8		-88	-45	10		-89	-26	3
	-90	-38	9						-88	-33	7		-87	-33	6		-83	-125	7		-94	-24	9
	-92	-34	2						-89	-39	7		-87	-30	5		-96	-49	10		-98	-33	13
	-89	-30	15						-89	-35	9		-95	-30	10		-87	-67	4		-93	-35	8
	-89	-35	8						-92	-39	5		-93	-34	-2		-93	-32	9		-97	-29	6
	-90	-37	10						-93	-34	7		-92	-27	5		-92	-38	5		-96	-27	10
	-93	-30	16						-91	-31	10		-89	-33	9		-96	-33	10		-94	-41	2
	-90	-38	11						-95	-35	11		-93	-27	6		-97	-33	7		-96	-28	-1
	-93	-29	4						-92	-38	2		-98	-23	8		-95	-25	4		-87	-35	1
	-88	-34	11						-91	-38	4		-89	-30	5		-95	-23	5		-94	-26	0
	-88	-33	8						-94	-33	9		-94	-33	2		-93	-36	3		-89	-30	12
	-93	-33	7						-89	-29	9		-104	-26	14		-92	-36	6		-87	-31	5
	-87	-37	10						-94	-32	10		-90	-38	7		-95	-34	12		-92	-30	3
	-93	-34	5						-90	-31	11		-93	-29	12		-85	-85	0		-90	-28	12
	-88	-35	10						-92	-30	15		-97	-39	2		-90	-49	9		-98	-38	14
	-91	-33	11						-88	-36	2		-94	-27	7		-96	-29	-1		-87	-27	5
	-90	-26	2						-93	-35	8		-86	-33	7		-96	-23	10		-98	-26	7
	-89	-35	12						-91	-38	9		-97	-35	10		-91	-36	10		-93	-32	6
	-89	-35	4						-88	-32	9		-89	-31	-3		-101	-8	6		-100	-37	4
	-88	-33	7						-94	-29	11		-95	-30	2		-94	-5	4		-98	-27	11
	-93	-34	6						-91	-35	14		-95	-27	6		-97	-13	12		-94	-30	4
	-88	-31	6						-91	-30	7		-93	-48	10		-90	-29	12		-90	-26	6
	-87	-29	14						-95	-25	11		-95	-33	11		-93	-48	8		-95	-31	3
	-89	-35	5						-93	-37	10		-94	-34	4		-95	-16	10		-94	-37	-5
	-91	-38	10						-94	-27	5		-99	-32	7		-91	-15	1		-97	-36	5
	-87	-34	8						-89	-38	10		-100	-35	6		-89	-58	6		-92	-40	11
	-91	-35	6						-90	-33	6		-94	-40	16		-101	23	4		-92	-30	5
	-93	-37	10						-97	-29	14		-94	-33	9		-99	-24	11		-90	-31	9
	-91	-32	6						-91	-32	6		-92	-36	8		-97	-39	2		-98	-32	11
	-86	-36	3						-95	-29	7		-84	-32	6		-91	-63	2		-96	-42	5
	-85	-36	8						-86	-34	11		-94	-34	11		-86	-99	3		-95	-31	3
	-90	-34	4						-96	-30	7		-90	-34	10		-99	-45	9		-92	-31	2
	-90	-31	5						-90	-26	5		-94	-38	14		-94	-65	8		-91	-36	7
	-89	-38	4						-93	-32	13		-95	-30	7		-93	-93	6		-101	-14	4
	-88	-29	3						-89	-34	7		-98	-29	15		-91	-28	4		-88	-30	5
	-91	-30	8						-92	-36	8		-97	-36	10		-88	-26	3		-95	-27	2
	-94	-32	12						-90	-38	6		-102	-23	13		-90	-28	3		-98	-37	11
	-88	-35	5						-91	-32	5		-97	-29	10		-88	-208	13		-96	-41	3
	-91	-33	7						-91	-32	7		-91	-38	7		-92	-37	7		-92	-33	3
	-90	-34	4						-93	-31	7		-92	-39	10		-88	-70	2		-95	-32	5
	-92	-36	6						-89	-31	9		-94	-29	3		-93	-30	10		-92	-40	12
	-93	-28	8						-91	-32	10		-94	-29	9		-87	-44	9		-96	-33	4
	-91	-32	3						-95	-35	6		-86	-39	-4		-91	-5	10		-90	-26	9
	-89	-33	3						-90	-41	7		-91	-21	6		-94	7	4		-93	-33	9
	-89	-33	16						-91	-35	8		-91	-37	6		-91	-23	9		-93	-34	9
	-94	-37	4						-89	-35	14		-92	-31	12		-96	-23	6		-96	-32	14
	-95	-35	10						-90	-29	5		-89	-40	7		-94	-39	8		-98	-28	3
	-89	-36	12						-90	-29	15		-92	-28	8		-101	-32	11		-94	-34	8
	-89	-33	2						-89	-33	8		-91	-39	5		-88	-50	0		-94	-22	12
	-87	-30	10						-94	-34	8		-91	-36	6		-102	-29	10		-94	-21	7
	-96	-33	10						-90	-39	10		-97	-19	4		-94	-19	9		-97	-24	-2
	-86	-28	8						-92	-31	11		-89	-37	8		-92	23	11		-89	-31	5
	-89	-37	5						-90	-32	18		-94	-39	8		-87	-24	3		-104	-23	5
	-88	-33	8						-92	-32	11		-94	-34	9		-91	12	6		-93	-30	8
	-91	-37	6						-90	-34	0		-94	-45	1		-96	3	1		-99	-29	2
	-90	-35	13						-93	-33	5		-90	-25	5		-91	-57	10		-100	-30	5
	-94	-39	6						-90	-34	6		-89	-34	2		-95	-27	-3		-96	-22	10
	-86	-37	5						-90	-37	8		-94	-37	3		-100	-16	7		-86	-26	6
	-87	-36	14						-94	-36	8		-97	-43	0		-95	-2	2		-90	-41	4
	-89	-39	7						-92	-37	6		-97	-25	7		-91	-80	13		-97	-39	7
	-88	-35	3						-87	-33	5		-96	-34	5		-93	-58	8		-93	-35	9
	-96	-37	8						-93	-40	0		-89	-36	3		-92	-130	6		-97	-25	3
	-95	-38	14						-92	-39	1		-93	-42	6		-95	-31	16		-96	-33	6
	-89	-34	7						-87	-39	12		-93	-27	3		-94	-13	3		-97	-33	8
	-93	-36	2						-96	-34	13		-96	-35	2		-90	-32	3		-90	-29	4
	-90	-37	13						-88	-39	8		-95	-34	10		-67	80	6		-99	-19	5
	-95	-37	4						-88	-34	9		-90	-41	3		-100	-100	10		-97	-33	8
	-89	-29	8						-87	-34	6		-96	-25	9		-94	-64	4		-100	-31	10
	-93	-33	8						-94	-33	12		-93	-35	5		-97	-33	-3		-92	-38	6
	-90	-34	7						-89	-34	10		-96	-37	8		-91	-33	3		-94	-37	6
	-87	-37	7						-92	-34	8		-90	-40	7		-91	-24	13		-101	-30	7
	-92	-31	12						-90	-30	1		-90	-29	1		-89	-17	11		-94	-34	6
	-88	-37	11						-93	-31	6		-86	-40	10		-93	-38	11		-90	-35	13
	-90	-37	3						-92	-34	9		-94	-20	6		-90	-42	7		-95	-24	5
	-94	-32	8						-93	-34	9		-96	-36	10		-91	-16	7		-89	-38	9
	-93	-41	11						-95	-37	10		-96	-27	3		-95	-37	13		-99	-35	11
	-89	-32	7						-91	-35	7		-97	-39	7		-94	-37	9		-96	-34	-1
	-87	-36	8						-90	-30	8		-92	-26	8		-87	-65	4		-93	-32	6
	-89	-36	9						-88	-33	3		-100	-32	5		-92	-40	13		-97	-34	4
	-87	-35	8						-92	-35	2		-96	-35	8		-90	-44	2		-92	-36	6
	-84	-37	7						-91	-34	4		-93	-42	8		-86	-64	12		-91	-19	-3
	-93	-36	1						-92	-35	7		-92	-35	9		-89	-40	5		-98	-20	-1
	-90	-33	4						-90	-34	6		-89	-28	7		-89	3	0		-99	-33	7
	-95	-32	10						-96	-38	1		-95	-25	6		-89	-75	3		-90	-45	7
	-90	-31	5						-93	-35	10		-92	-32	8		-85	-41	7		-97	-32	9
	-91	-32	7						-94	-31	13		-99	-40	14		-95	-44	4		-93	-33	3
	-93	-30	7						-90	-30	10		-97	-36	2		-98	-21	3		-99	-31	3
	-91	-40	4						-91	-34	0		-100	-32	11		-97	-52	10		-95	-48	6
	-89	-30	12						-89	-35	8		-98	-34	10		-96	-27	13		-89	-66	5
	-93	-28	0						-92	-26	10		-92	-30	10		-94	-39	5		-91	-48	6
