Log 0	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 1	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 2	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 3	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 4	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 5	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)
									-95	-30	7												
									-90	-39	-2												
									-93	-34	6												
									-90	-31	9												
									-89	-38	6												
									-92	-27	13												
									-93	-37	6												
									-96	-34	7												
									-91	-29	5												
									-94	-33	3												
									-90	-30	11												
									-93	-36	6												
									-88	-33	12												
									-92	-37	7												
									-90	-30	7												
									-89	-37	10												
									-93	-32	10												
									-93	-34	8												
									-89	-39	6												
									-91	-33	3												
									-93	-34	10												
									-98	-35	6												
									-95	-39	13												
									-88	-32	11												
									-92	-36	7												
									-90	-35	11												
									-90	-34	12												
									-91	-35	6												
									-90	-39	-5												
									-93	-33	6												
									-92	-27	14												
									-91	-36	0												
									-87	-31	5												
									-89	-36	12												
									-92	-33	9												
									-91	-35	14												
									-89	-36	0												
									-94	-37	7												
									-87	-33	11												
									-88	-30	8												
									-87	-35	10												
									-92	-27	15												
									-94	-31	11												
									-94	-33	6												
									-91	-32	10												
									-90	-30	9												
									-94	-28	3												
									-89	-33	3												
									-89	-34	4												
									-91	-35	6												
									-92	-35	12												
									-93	-31	9												
									-90	-34	12												
									-94	-31	13												
									-95	-36	8												
									-90	-35	5												
									-87	-35	9												
									-92	-27	7												
									-93	-30	6												
									-93	-35	5												
									-95	-31	1												
									-95	-36	16												
									-90	-33	8												
									-89	-32	8												
									-94	-33	4												
									-92	-35	5												
									-88	-30	7												
									-94	-30	10												
									-91	-38	1												
									-93	-34	9												
									-98	-33	4												
									-98	-24	4												
									-87	-36	3												
									-90	-30	10												
									-89	-33	3												
									-97	-26	3												
									-89	-37	3												
									-93	-31	9												
									-92	-32	6												
									-86	-33	5												
									-92	-27	6												
									-89	-34	13												
									-91	-38	10												
									-93	-29	7												
									-91	-33	5												
									-96	-32	10												
									-93	-26	7												
									-94	-33	9												
									-87	-31	11												
									-97	-37	2												
									-96	-30	4												
									-91	-31	13												
									-91	-36	10												
									-88	-30	9												
									-90	-29	9												
									-86	-35	9												
									-94	-38	7												
									-96	-29	8												
									-89	-33	8												
									-94	-36	10												
									-94	-33	3												
									-87	-34	10												
									-94	-31	4												
									-95	-41	8												
									-91	-29	14												
									-94	-28	-1												
									-89	-33	7												
									-95	-36	14												
									-93	-28	9												
									-91	-35	10												
									-87	-32	10												
									-99	-38	11												
									-92	-30	6												
									-90	-38	12												
									-91	-28	13												
									-87	-31	8												
									-91	-33	3												
									-92	-32	9												
									-92	-28	8												
									-93	-29	9												
									-87	-35	11												
									-86	-33	9												
									-90	-38	9												
									-88	-27	12												
									-91	-31	11												
									-90	-40	5												
									-91	-33	8												
									-97	-38	7												
									-87	-30	12												
									-87	-37	4												
									-93	-34	6												
									-91	-31	17												
									-94	-34	10												
									-92	-44	11												
									-92	-37	16												
									-92	-36	5												
									-91	-37	8												
									-91	-36	8												
									-90	-36	4												
									-94	-34	8												
									-94	-29	9												
									-96	-33	12												
									-94	-38	14												
									-91	-31	8												
									-94	-35	1												
									-94	-36	5												
									-94	-32	7												
									-92	-30	10												
									-92	-34	7												
									-92	-29	-1												
									-97	-30	3												
									-91	-37	5												
									-92	-35	14												
									-88	-33	13												
									-89	-35	2												
									-95	-32	5												
									-92	-37	4												
									-91	-32	6												
									-94	-34	12												
									-91	-31	6												
									-91	-36	5												
									-95	-35	8												
									-89	-30	7												
									-94	-36	10												
									-89	-40	14												
									-90	-32	8												
									-91	-33	11												
									-90	-33	10												
									-87	-37	10												
									-89	-35	10												
									-89	-33	9												
									-91	-29	11												
									-89	-36	4												
									-93	-37	4												
									-90	-34	7												
									-88	-32	10												
									-91	-33	8												
									-88	-35	10												
									-93	-33	11												
									-89	-34	9												
									-97	-34	8												
									-87	-31	11												
									-97	-33	6												
									-92	-32	3												
									-94	-33	10												
									-93	-33	14												
									-92	-31	9												
									-91	-28	9												
									-95	-33	7												
									-87	-32	0												
									-89	-39	10												
									-96	-25	10												
									-89	-32	13												
									-90	-33	5												
									-90	-31	0												
									-94	-34	7												
									-93	-36	12												
									-87	-29	9												
									-88	-27	11												
									-92	-30	11												
									-92	-27	9												
									-88	-33	4												
									-90	-31	8												
									-88	-33	12												
									-92	-37	6												
									-93	-33	1												
									-97	-31	5												
									-91	-33	0												
									-88	-35	7												
									-84	-32	10												
									-90	-32	6												
									-96	-31	8												
									-91	-31	10												
									-94	-37	7												
									-91	-27	7												
									-89	-32	9												
									-91	-30	3												
									-88	-32	3												
									-91	-37	7												
									-90	-35	11												
									-92	-37	9												
									-90	-33	9												
									-93	-29	10												
									-90	-33	12												
									-83	-28	10												
									-87	-39	8												
									-92	-31	14												
									-91	-36	3												
									-91	-34	-3												
									-94	-35	9												
									-93	-36	9												
									-90	-37	7												
									-94	-29	12												
									-94	-31	2												
									-93	-40	6												
									-91	-34	9												
									-89	-32	5												
									-89	-36	14												
									-91	-32	12												
									-91	-28	15												
									-92	-34	7												
									-87	-33	2												
									-91	-29	9												
									-95	-30	5												
									-96	-33	16												
									-95	-31	5												
									-92	-34	7												
									-95	-34	9												
									-91	-35	10												
									-91	-25	4												
									-86	-37	7												
									-94	-31	7												
									-98	-29	7												
									-93	-35	6												
									-90	-37	11												
									-93	-32	7												
									-89	-35	8												
									-91	-34	5												
									-93	-36	9												
									-87	-30	17												
									-89	-33	10												
									-94	-33	2												
									-93	-28	1												
									-94	-36	13												
									-94	-33	5												
									-96	-37	8												
									-94	-34	3												
									-92	-36	4												
									-92	-37	7												
									-91	-35	5												
									-93	-26	8												
									-88	-32	8												
									-93	-32	9												
									-88	-36	11												
									-91	-33	7												
									-91	-36	-8												
									-96	-33	11												
									-92	-37	2												
									-88	-34	-1												
									-90	-33	8												
									-91	-34	4												
									-94	-31	10												
									-94	-34	6												
									-94	-28	3												
									-91	-40	6												
									-94	-29	12												
									-93	-32	4												
									-90	-36	11												
									-95	-33	9												
									-91	-33	3												
									-91	-32	11												
									-91	-29	9												
									-95	-32	5												
									-90	-33	5												
									-92	-31	6												
									-97	-31	8												
									-89	-36	8												
									-88	-34	5												
									-97	-36	0												
									-96	-34	7												
									-88	-33	10												
									-90	-32	5												
									-89	-33	13												
									-91	-31	10												
									-96	-42	14												
									-88	-34	11												
									-91	-25	5												
									-91	-33	7												
									-90	-35	5												
									-91	-30	6												
									-89	-37	13												
									-90	-33	4												
									-92	-33	12												
									-92	-36	7												
									-88	-30	8												
									-90	-34	4												
									-88	-37	11												
									-95	-35	9												
									-92	-34	4												
									-92	-36	7												
									-91	-29	11												
									-91	-33	9												
									-92	-36	9												
									-94	-31	6												
									-92	-33	10												
									-90	-37	10												
									-91	-33	11												
									-90	-29	14												
									-92	-33	11												
									-95	-34	5												
									-89	-30	12												
									-96	-31	7												
									-89	-34	0												
									-92	-35	3												
									-91	-32	5												
									-91	-31	8												
									-99	-32	11												
									-91	-32	4												
									-89	-36	9												
									-89	-32	4												
									-91	-26	4												
									-92	-37	12												
									-91	-34	6												
									-92	-29	12												
									-98	-36	12												
									-90	-29	3												
									-95	-39	10												
									-97	-28	8												
									-98	-33	10												
									-93	-35	2												
									-91	-31	13												
									-92	-38	7												
									-93	-32	2												
									-90	-39	3												
									-94	-27	7												
									-89	-34	10												
									-92	-35	3												
									-89	-34	11												
									-86	-38	8												
									-95	-33	4												
									-93	-36	0												
									-94	-31	2												
									-93	-31	7												
									-90	-33	13												
									-91	-34	0												
									-88	-37	8												
									-95	-35	5												
									-89	-31	4												
									-91	-31	9												
									-93	-30	14												
									-95	-31	7												
									-92	-32	10												
									-92	-34	12												
									-95	-38	7												
									-92	-32	4												
									-89	-34	9												
									-86	-31	11												
									-91	-31	12												
									-93	-34	7												
									-95	-32	11												
									-90	-29	9												
									-94	-36	9												
									-94	-35	5												
									-91	-39	4												
									-90	-37	13												
									-89	-36	-1												
									-92	-28	3												
									-94	-36	2												
									-92	-31	9												
									-94	-40	8												
									-89	-37	7												
									-92	-37	9												
									-91	-30	13												
									-95	-32	0												
									-92	-34	4												
									-89	-31	5												
									-97	-30	3												
									-91	-31	6												
									-97	-30	7												
									-93	-29	3												
									-93	-30	4												
									-91	-34	9												
									-93	-30	9												
									-88	-30	4												
									-92	-31	11												
									-92	-31	18												
									-94	-31	2												
									-88	-34	6												
									-91	-37	10												
									-92	-31	14												
									-95	-35	11												
									-91	-31	9												
									-93	-30	9												
									-94	-30	9												
									-86	-33	6												
									-93	-32	15												
									-95	-33	6												
									-95	-30	9												
									-95	-32	10												
									-88	-37	5												
									-93	-39	7												
									-91	-35	6												
									-94	-31	10												
									-92	-34	1												
									-90	-33	10												
									-89	-38	2												
									-90	-36	8												
									-93	-30	5												
									-96	-36	4												
									-89	-38	16												
									-92	-30	8												
									-89	-36	14												
									-93	-29	3												
									-97	-32	3												
									-89	-34	2												
									-91	-34	10												
									-89	-36	8												
									-90	-28	9												
									-91	-33	10												
									-94	-33	6												
									-96	-32	8												
									-91	-29	12												
									-90	-32	7												
									-85	-32	6												
									-88	-33	9												
									-92	-29	9												
									-88	-39	9												
									-92	-39	6												
									-90	-33	9												
									-95	-38	5												
									-91	-34	7												
									-91	-32	2												
									-89	-29	2												
									-89	-34	11												
									-96	-38	2												
									-91	-28	4												
									-91	-28	4												
									-90	-34	3												
									-93	-35	12												
									-90	-33	-1												
									-94	-29	8												
									-93	-34	2												
									-93	-36	9												
									-88	-32	12												
									-91	-28	7												
									-89	-34	6												
									-91	-34	12												
									-96	-38	12												
									-95	-33	6												
									-89	-35	11												
									-91	-34	8												
									-89	-33	6												
									-96	-31	2												
									-88	-39	5												
									-90	-31	8												
									-88	-32	8												
									-93	-35	5												
									-89	-33	9												
									-93	-28	11												
									-96	-34	11												
									-91	-26	8												
									-92	-33	13												
									-100	-31	13												
									-94	-38	10												
									-97	-31	6												
									-93	-35	8												
									-89	-33	10												
									-90	-34	13												
									-93	-32	5												
									-91	-34	8												
									-88	-31	11												
									-88	-33	10												
									-91	-30	6												
									-97	-37	0												
									-88	-28	4												
									-94	-32	10												
									-90	-29	3												
									-90	-35	7												
									-91	-36	9												
									-89	-34	7												
									-92	-32	5												
									-88	-33	14												
									-89	-33	4												
									-93	-30	9												
									-90	-36	9												
									-90	-34	2												
									-94	-35	13												
									-93	-31	6												
									-93	-33	4												
									-91	-31	0												
									-88	-31	9												
									-91	-32	6												
									-94	-38	4												
									-89	-29	3												
									-92	-33	13												
									-94	-35	9												
									-93	-32	3												
									-95	-33	10												
									-89	-31	7												
									-92	-33	3												
									-87	-35	9												
									-90	-32	6												
									-96	-37	4												
									-96	-35	10												
									-92	-29	7												
									-92	-36	6												
									-89	-29	9												
									-98	-33	13												
									-95	-32	12												
									-88	-34	4												
									-90	-35	16												
									-94	-34	9												
									-92	-36	7												
									-88	-32	4												
									-93	-36	10												
									-89	-35	9												
									-91	-29	3												
									-84	-27	5												
									-93	-33	11												
									-95	-31	10												
									-91	-31	10												
									-90	-27	8												
									-90	-29	9												
									-90	-31	9												
									-94	-34	15												
									-92	-29	8												
									-93	-37	6												
									-90	-24	3												
									-92	-33	0												
									-91	-26	13												
									-92	-30	11												
									-88	-24	6												
									-95	-32	3												
									-90	-35	5												
									-92	-28	6												
									-89	-34	7												
									-89	-30	12												
									-90	-36	3												
									-97	-27	11												
									-94	-28	7												
									-96	-28	5												
									-94	-28	7												
									-94	-35	4												
									-92	-29	12												
									-87	-32	12												
									-93	-31	15												
									-93	-32	10												
									-94	-36	6												
									-92	-32	8												
									-89	-35	9												
									-88	-34	6												
									-91	-33	5												
									-94	-33	3												
									-90	-32	9												
									-95	-30	5												
									-92	-31	5												
									-95	-30	8												
									-95	-27	13												
									-86	-32	8												
									-93	-34	5												
									-92	-30	3												
									-90	-36	5												
									-94	-34	11												
									-93	-28	1												
									-85	-33	2												
									-92	-32	10												
									-94	-33	11												
									-92	-31	7												
									-95	-33	8												
									-88	-40	6												
									-88	-33	9												
									-93	-34	4												
									-91	-31	5												
									-90	-34	14												
									-93	-33	9												
									-95	-26	3												
									-94	-28	6												
									-90	-29	10												
									-90	-28	6												
									-92	-34	8												
									-97	-33	7												
									-94	-28	4												
									-92	-31	11												
									-87	-38	7												
									-88	-32	3												
									-94	-31	7												
									-93	-34	8												
									-96	-36	6												
									-96	-33	10												
									-96	-29	10												
									-89	-39	8												
									-91	-27	7												
									-90	-35	2												
									-88	-34	5												
									-94	-31	14												
									-93	-31	1												
									-87	-33	2												
									-92	-35	7												
									-90	-32	10												
									-94	-34	10												
									-93	-30	9												
									-89	-33	11												
									-90	-28	13												
									-89	-35	7												
									-87	-32	5												
									-90	-42	-1												
									-95	-32	13												
									-92	-32	3												
									-89	-36	9												
									-88	-32	11												
									-91	-38	3												
									-92	-28	8												
									-94	-33	1												
									-91	-35	8												
									-94	-29	8												
									-93	-33	7												
									-90	-35	7												
									-95	-32	10												
									-87	-29	8												
									-94	-35	-1												
									-93	-31	4												
									-92	-32	3												
									-91	-27	8												
									-92	-34	12												
									-92	-33	5												
									-90	-27	10												
									-88	-34	2												
									-93	-41	8												
									-95	-32	9												
									-87	-35	14												
									-85	-32	6												
									-90	-30	15												
									-94	-38	7												
									-94	-36	3												
									-91	-36	4												
									-91	-36	10												
									-88	-30	8												
									-94	-30	8												
									-86	-28	8												
									-89	-36	7												
									-90	-29	5												
									-94	-36	4												
									-94	-33	13												
									-89	-32	9												
									-92	-29	3												
									-92	-36	6												
									-91	-31	6												
									-94	-39	8												
									-89	-35	7												
									-88	-39	10												
									-93	-36	10												
									-97	-37	5												
									-94	-32	10												
									-96	-38	6												
									-92	-38	8												
									-92	-33	15												
									-95	-35	6												
									-95	-31	10												
									-93	-35	6												
									-86	-34	12												
									-95	-34	11												
									-96	-38	8												
									-96	-34	9												
									-92	-29	15												
									-91	-34	10												
									-88	-34	3												
									-95	-37	1												
									-91	-32	9												
									-94	-35	3												
									-91	-32	9												
									-91	-33	9												
									-93	-28	8												
									-92	-26	1												
									-91	-31	3												
									-95	-41	2												
									-87	-30	12												
									-90	-38	13												
									-95	-36	5												
									-92	-30	5												
									-90	-29	5												
									-89	-32	10												
									-92	-24	4												
									-92	-29	7												
									-92	-33	7												
									-96	-32	16												
									-93	-31	6												
									-88	-31	6												
									-93	-35	8												
									-90	-31	11												
									-94	-37	8												
									-98	-31	7												
									-87	-34	7												
									-92	-36	3												
									-89	-31	4												
									-90	-32	1												
									-91	-36	12												
									-88	-38	7												
									-89	-32	7												
									-93	-33	10												
									-92	-32	11												
									-93	-30	4												
									-95	-35	5												
									-90	-35	7												
									-90	-31	12												
									-91	-34	5												
									-93	-39	0												
									-87	-29	3												
									-89	-33	11												
									-93	-33	9												
									-96	-33	9												
									-90	-26	3												
									-91	-35	5												
									-90	-24	10												
									-94	-37	5												
									-89	-35	8												
									-91	-28	8												
									-85	-31	13												
									-89	-32	10												
									-91	-33	3												
									-97	-32	4												
									-88	-30	7												
									-87	-32	4												
									-92	-28	-1												
									-93	-25	7												
									-92	-30	14												
									-92	-30	10												
									-89	-33	11												
									-89	-33	9												
									-90	-31	4												
									-91	-35	5												
									-92	-33	7												
									-93	-33	7												
									-91	-35	8												
									-90	-32	7												
									-88	-29	7												
									-92	-34	12												
									-95	-30	17												
									-95	-33	6												
									-94	-30	3												
									-89	-35	17												
									-89	-41	3												
									-88	-31	1												
									-87	-33	11												
									-94	-32	9												
									-93	-32	6												
									-93	-35	6												
									-90	-32	2												
									-93	-25	5												
									-94	-36	6												
									-89	-31	12												
									-93	-32	4												
									-95	-31	14												
									-91	-31	9												
									-89	-34	2												
									-89	-38	9												
									-93	-28	8												
									-91	-33	10												
									-89	-36	4												
									-91	-28	7												
									-91	-33	6												
									-90	-36	10												
									-91	-33	9												
									-87	-34	11												
									-96	-37	10												
									-87	-39	3												
									-90	-31	14												
									-92	-31	7												
									-92	-34	10												
									-95	-35	2												
									-88	-31	6												
									-91	-34	6												
									-89	-32	13												
									-90	-31	7												
									-87	-37	8												
									-92	-33	7												
									-89	-33	11												
									-91	-30	7												
									-94	-33	11												
									-89	-28	4												
									-93	-36	10												
									-91	-28	8												
									-93	-35	6												
									-92	-30	4												
									-97	-35	4												
									-91	-32	10												
									-91	-35	2												
									-88	-32	0												
									-97	-30	8												
									-91	-31	6												
									-93	-33	11												
									-88	-25	4												
									-87	-33	-2												
									-97	-26	10												
									-92	-32	2												
									-90	-37	2												
									-93	-32	7												
									-94	-34	4												
									-94	-39	13												
									-90	-36	8												
									-89	-30	7												
									-93	-35	9												
									-92	-35	14												
									-92	-35	5												
									-97	-34	7												
									-89	-26	9												
									-91	-30	6												
									-92	-31	9												
									-92	-31	5												
									-89	-34	4												
									-92	-30	11												
									-91	-33	12												
									-89	-31	6												
									-92	-31	10												
									-93	-32	7												
									-95	-36	5												
									-88	-34	3												
									-92	-27	7												
									-92	-37	11												
									-93	-31	10												
									-96	-33	4												
									-93	-30	3												
									-90	-33	8												
									-89	-34	8												
									-91	-33	7												
									-89	-31	3												
									-89	-34	9												
									-93	-33	5												
									-90	-35	8												
									-91	-31	7												
									-90	-35	6												
									-88	-34	10												
									-91	-32	7												
									-95	-34	4												
									-91	-29	8												
									-91	-36	10												
									-91	-28	4												
									-90	-33	7												
									-93	-30	8												
									-90	-31	5												
									-93	-35	5												
									-91	-33	6												
									-89	-37	9												
									-90	-29	14												
									-87	-28	5												
									-93	-30	3												
									-96	-32	17												
									-94	-35	3												
									-88	-39	5												
									-89	-40	7												
									-92	-29	8												
									-94	-34	9												
									-92	-36	5												
									-92	-27	11												
									-88	-32	13												
									-86	-32	13												
									-93	-32	2												
									-90	-33	10												
									-91	-33	2												
									-91	-33	12												
									-89	-27	9												
									-92	-35	8												
									-85	-38	7												
									-94	-36	10												
									-90	-38	9												
									-86	-30	5												
									-89	-36	4												
									-97	-36	2												
									-92	-34	5												
									-92	-34	4												
									-99	-34	13												
									-90	-35	8												
									-97	-29	8												
									-95	-33	3												
									-92	-31	8												
									-91	-32	11												
									-87	-30	3												
									-89	-30	13												
									-89	-25	12												
									-91	-39	7												
									-89	-35	8												
									-89	-40	13												
									-94	-30	14												
									-91	-33	10												
									-87	-32	3												
									-94	-31	1												
									-88	-35	7												
									-93	-29	7												
									-91	-32	8												
									-93	-34	10												
									-90	-32	12												
									-94	-40	11												
									-90	-35	5												
									-90	-34	10												
									-92	-34	12												
									-87	-33	6												
									-91	-40	11												
									-95	-36	11												
									-97	-30	8												
									-88	-35	0												
									-91	-34	4												
									-92	-31	10												
									-87	-31	6												
									-96	-30	4												
									-88	-31	14												
									-91	-39	10												
									-89	-36	8												
									-91	-33	2												
									-93	-36	6												
									-95	-34	10												
									-89	-31	12												
									-91	-32	8												
									-97	-31	7												
									-94	-35	10												
									-93	-28	10												
									-92	-30	0												
									-90	-29	6												
									-95	-27	12												
									-95	-35	10												
									-92	-36	4												
									-88	-30	5												
									-90	-35	3												
									-92	-33	8												
									-84	-30	14												
									-92	-32	9												
									-90	-39	10												
									-93	-35	6												
									-89	-34	9												
									-88	-37	11												
									-92	-31	12												
									-94	-39	12												
									-90	-29	9												
									-90	-31	3												
									-89	-36	9												
									-98	-29	4												
									-90	-31	8												
									-90	-33	5												
									-89	-40	8												
									-90	-34	2												
									-90	-33	11												
									-90	-32	12												
									-89	-38	6												
									-96	-34	10												
									-91	-29	10												
									-88	-30	7												
									-88	-32	4												
									-90	-31	2												
									-90	-30	1												
									-90	-30	5												
									-94	-34	6												
									-95	-35	9												
									-91	-28	4												
									-95	-37	10												
									-98	-38	6												
									-92	-37	6												
									-91	-32	7												
									-94	-33	9												
									-92	-35	4												
									-89	-31	9												
									-93	-31	5												
									-94	-27	10												
									-91	-34	17												
									-88	-37	14												
									-88	-37	9												
									-96	-33	6												
									-94	-32	4												
									-95	-32	10												
									-93	-29	5												
									-98	-34	9												
									-91	-33	10												
									-101	-36	9												
									-91	-30	7												
									-94	-35	5												
									-89	-30	8												
									-91	-33	6												
									-96	-37	7												
									-87	-35	10												
									-88	-35	11												
									-90	-38	7												
									-92	-27	1												
									-94	-34	2												
									-91	-28	6												
									-90	-35	5												
									-97	-34	6												
									-90	-35	5												
									-93	-33	15												
									-99	-37	5												
									-94	-36	7												
									-92	-31	8												
									-89	-28	7												
									-92	-34	10												
									-94	-33	9												
									-90	-30	6												
									-92	-30	9												
									-88	-35	10												
									-89	-35	10												
									-90	-37	12												
									-95	-35	8												
									-92	-33	7												
									-95	-36	8												
									-93	-32	9												
									-92	-32	14												
									-92	-31	8												
									-91	-30	9												
									-89	-32	9												
									-82	-32	4												
									-95	-31	8												
									-87	-30	7												
									-95	-36	6												
									-92	-29	14												
									-91	-32	6												
									-95	-29	13												
									-84	-39	12												
									-95	-36	15												
									-93	-32	12												
									-91	-35	6												
									-95	-28	-2												
									-95	-36	0												
									-90	-30	4												
									-88	-26	16												
									-90	-40	8												
									-94	-30	10												
									-91	-28	7												
									-93	-33	5												
									-94	-30	15												
									-89	-33	3												
									-90	-33	7												
									-89	-33	9												
									-91	-32	2												
									-88	-30	12												
									-88	-37	6												
									-92	-30	9												
									-95	-32	4												
									-91	-34	13												
									-88	-30	4												
									-90	-34	6												
									-93	-29	1												
									-93	-36	7												
									-90	-35	4												
									-93	-33	8												
									-89	-34	11												
									-93	-35	8												
									-90	-34	7												
									-92	-39	7												
									-89	-35	5												
									-89	-31	8												
									-95	-32	0												
									-95	-33	13												
									-94	-29	10												
									-96	-38	13												
									-95	-33	9												
									-90	-36	7												
									-96	-36	8												
									-91	-33	9												
									-91	-32	7												
									-89	-39	6												
									-91	-32	6												
									-89	-37	10												
									-91	-28	10												
									-91	-32	8												
									-89	-32	2												
									-91	-31	10												
									-89	-35	11												
									-92	-32	2												
									-92	-38	6												
									-94	-34	5												
									-91	-33	8												
									-89	-33	4												
									-90	-34	9												
									-90	-36	8												
									-90	-29	8												
									-94	-37	5												
									-94	-31	7												
									-91	-37	9												
									-94	-38	7												
									-94	-31	3												
									-91	-28	9												
									-88	-38	11												
									-90	-30	6												
									-91	-38	13												
									-96	-25	9												
									-93	-29	10												
									-93	-37	7												
									-87	-27	11												
									-91	-30	3												
									-89	-29	-4												
									-92	-33	5												
									-87	-39	13												
									-94	-34	8												
									-88	-29	16												
									-95	-36	16												
									-96	-32	12												
									-92	-29	8												
									-91	-33	2												
									-91	-34	1												
									-93	-34	0												
									-91	-34	8												
									-92	-32	12												
									-92	-34	6												
									-91	-35	8												
									-95	-38	9												
									-91	-40	8												
									-86	-36	9												
									-96	-33	0												
									-92	-39	0												
									-95	-32	9												
									-93	-32	14												
									-91	-32	12												
									-90	-33	10												
									-89	-30	2												
									-89	-28	10												
									-94	-33	9												
									-92	-33	7												
									-88	-26	4												
									-99	-35	2												
									-89	-36	6												
									-91	-36	8												
									-95	-31	10												
									-88	-33	10												
									-89	-36	12												
									-92	-33	5												
									-91	-31	9												
									-95	-35	10												
									-91	-34	10												
									-93	-34	2												
									-89	-35	7												
									-93	-35	7												
									-90	-34	11												
									-89	-33	9												
									-92	-36	10												
									-92	-32	11												
									-89	-30	15												
									-94	-37	3												
									-91	-35	6												
									-101	-32	9												
									-93	-34	6												
									-92	-37	9												
									-91	-41	6												
									-92	-33	5												
									-95	-27	6												
									-89	-35	9												
									-94	-38	1												
									-96	-28	6												
									-94	-33	3												
									-88	-34	2												
									-94	-29	5												
									-90	-31	15												
									-89	-35	7												
									-93	-33	14												
									-89	-37	9												
									-87	-36	14												
									-96	-31	5												
									-92	-31	3												
									-93	-35	6												
									-96	-31	8												
									-91	-30	2												
									-91	-36	8												
									-89	-32	14												
									-89	-28	11												
									-95	-32	12												
									-93	-36	5												
									-93	-39	6												
									-91	-30	5												
									-89	-30	3												
									-92	-30	2												
									-92	-30	1												
									-93	-38	-2												
									-98	-31	11												
									-92	-34	7												
									-89	-27	6												
									-86	-36	8												
									-95	-34	10												
									-90	-35	9												
									-93	-33	10												
									-91	-34	0												
									-94	-30	11												
									-89	-28	4												
									-93	-30	5												
									-86	-34	6												
									-88	-33	9												
									-91	-36	6												
									-93	-32	10												
									-91	-26	1												
									-88	-36	1												
									-91	-35	-5												
									-89	-28	10												
									-93	-34	9												
									-90	-30	12												
									-96	-34	10												
									-88	-36	12												
									-91	-32	1												
									-88	-35	6												
									-86	-31	2												
									-88	-33	6												
									-92	-36	8												
									-89	-27	7												
									-97	-35	1												
									-99	-32	6												
									-91	-30	7												
									-92	-37	12												
									-93	-30	4												
									-88	-27	8												
									-91	-36	5												
									-91	-34	11												
									-94	-34	4												
									-92	-32	7												
									-88	-34	10												
									-94	-32	6												
									-96	-30	7												
									-90	-36	7												
									-93	-31	4												
									-91	-38	9												
									-92	-33	3												
									-88	-31	11												
									-94	-34	5												
									-89	-29	8												
									-87	-34	15												
									-93	-30	5												
									-91	-31	3												
									-95	-36	5												
									-100	-35	8												
									-92	-37	11												
									-92	-35	11												
									-91	-33	12												
									-92	-39	8												
									-97	-33	10												
									-91	-41	13												
									-95	-36	10												
									-91	-31	10												
									-89	-31	3												
									-95	-32	5												
									-91	-31	7												
									-93	-33	1												
									-89	-30	13												
									-96	-33	8												
									-98	-34	13												
									-91	-34	15												
									-86	-29	7												
									-90	-33	6												
									-88	-36	6												
									-89	-28	8												
									-93	-33	6												
									-92	-33	8												
									-93	-32	8												
									-86	-29	7												
									-90	-31	7												
									-89	-29	3												
									-90	-37	3												
									-87	-32	5												
									-94	-31	16												
									-92	-34	10												
									-92	-33	10												
									-89	-30	7												
									-91	-30	9												
									-96	-30	8												
									-91	-30	6												
									-92	-31	7												
									-94	-31	5												
									-93	-34	9												
									-91	-33	13												
									-88	-32	4												
									-92	-30	6												
									-89	-31	9												
									-94	-31	8												
									-90	-37	15												
									-92	-29	7												
									-91	-31	4												
									-90	-35	9												
									-92	-39	7												
									-90	-37	3												
									-86	-32	8												
									-91	-34	0												
									-91	-38	7												
									-93	-32	3												
									-98	-31	2												
									-91	-28	4												
									-90	-31	6												
									-93	-38	4												
									-88	-34	14												
									-87	-31	5												
									-92	-31	11												
									-94	-32	11												
									-94	-38	10												
									-90	-33	5												
									-89	-36	8												
									-90	-36	4												
									-93	-33	6												
									-92	-33	9												
									-97	-25	12												
									-92	-37	3												
									-91	-30	11												
									-86	-33	7												
									-92	-38	4												
									-92	-35	6												
									-95	-29	11												
									-89	-32	15												
									-91	-32	14												
									-92	-33	19												
									-93	-26	11												
									-91	-27	14												
									-94	-35	11												
									-94	-35	2												
									-91	-34	12												
									-89	-28	9												
									-98	-33	0												
									-92	-33	7												
									-91	-38	6												
									-93	-36	7												
									-92	-34	6												
									-92	-33	13												
									-89	-32	9												
									-95	-35	13												
									-91	-32	7												
									-89	-35	11												
									-87	-34	6												
									-90	-32	5												
									-94	-30	4												
									-95	-33	7												
									-90	-36	7												
									-93	-30	8												
									-95	-32	8												
									-91	-34	12												
									-92	-35	11												
									-90	-34	8												
									-97	-35	12												
									-96	-41	7												
									-93	-35	8												
									-93	-33	7												
									-90	-36	10												
									-92	-32	10												
									-91	-26	6												
									-91	-30	8												
									-88	-37	9												
									-87	-39	8												
									-92	-35	13												
									-89	-31	5												
									-89	-34	10												
									-89	-32	2												
									-90	-32	6												
									-97	-27	5												
									-88	-38	8												
									-91	-32	6												
									-94	-31	8												
									-90	-34	15												
									-90	-33	11												
									-91	-31	8												
									-90	-29	12												
									-93	-35	10												
									-97	-32	18												
									-89	-37	11												
									-89	-30	13												
									-91	-32	2												
									-97	-38	6												
									-89	-42	3												
									-90	-38	-1												
									-93	-30	6												
									-93	-34	4												
									-93	-31	8												
